filename,repo,repo_url,source_category,path_within_repo,num_variables,variable_bucket,ground_truth_source
1.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/1.c.sl,10,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
10.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/10.c.sl,9,6-10,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
100.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/100.c.sl,12,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
100_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/100_conf1.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
100_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/100_conf5.sl,26,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
101.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/101.c.sl,7,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
101_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/101_conf1.sl,11,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
101_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/101_conf5.sl,19,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
102.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/102.c.sl,7,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
102_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/102_conf1.sl,11,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
102_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/102_conf5.sl,19,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
103.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/103.c.sl,5,3-5,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
103_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/103_conf1.sl,9,6-10,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
103_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/103_conf5.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
107.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/107.c.sl,15,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
107_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/107_conf1.sl,21,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
107_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/107_conf5.sl,30,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
108.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/108.c.sl,17,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
108_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/108_conf1.sl,23,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
108_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/108_conf5.sl,32,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
109_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/109_conf1.sl,23,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
10_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/10_conf1.sl,14,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
10_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/10_conf5.sl,23,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
11.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/11.c.sl,9,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
110.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/110.c.sl,12,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
110_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/110_conf1.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
111.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/111.c.sl,12,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
111_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/111_conf1.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
114.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/114.c.sl,11,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
114_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/114_conf1.sl,16,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
114_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/114_conf5.sl,25,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
115.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/115.c.sl,11,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
115_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/115_conf1.sl,16,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
115_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/115_conf5.sl,25,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
118.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/118.c.sl,12,11-20,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
118_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/118_conf1.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
119.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/119.c.sl,12,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
119_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/119_conf1.sl,17,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
11_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/11_conf1.sl,14,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
11_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/11_conf5.sl,23,21-50,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
12.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/12.c.sl,9,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
120.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/120.c.sl,10,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
120_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/120_conf1.sl,15,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
120_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/120_conf5.sl,24,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
121.c.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/121.c.sl,10,6-10,SaswatPadhi/LoopInvGen (benchmarks/LIA/2018.NeurIPS_Code2Inv)
121_conf1.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/121_conf1.sl,15,11-20,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
121_conf5.sl,SaswatPadhi/LoopInvGen,https://github.com/SaswatPadhi/LoopInvGen,benchmarks/LIA/2018.NeurIPS_Code2Inv,benchmarks/LIA/2018.NeurIPS_Code2Inv/121_conf5.sl,24,21-50,NeuralInvariantRanker (Chakraborty et al.) -- verified positive invariant
